id;value;sensor;timestamp;uploaded
163;2.6;PM10;2017-02-21 23:35:18.802313;1
164;1.3;PM25;2017-02-21 23:35:18.802419;1
165;2.5;PM10;2017-02-21 23:35:41.394858;1
166;1.3;PM25;2017-02-21 23:35:41.394981;1
167;1.8;PM10;2017-02-21 23:36:04.057752;1
168;1.3;PM25;2017-02-21 23:36:04.057855;1
169;1.8;PM10;2017-02-21 23:36:26.708761;1
170;1.3;PM25;2017-02-21 23:36:26.708885;1
171;1.8;PM10;2017-02-21 23:36:49.264660;1
172;1.3;PM25;2017-02-21 23:36:49.264783;1
173;1.7;PM10;2017-02-21 23:37:11.840804;1
174;1.3;PM25;2017-02-21 23:37:11.840915;1
175;1.7;PM10;2017-02-21 23:37:34.441967;1
176;1.3;PM25;2017-02-21 23:37:34.442087;1
177;1.4;PM10;2017-02-21 23:37:57.036120;1
178;1.3;PM25;2017-02-21 23:37:57.036225;1
179;1.3;PM10;2017-02-21 23:38:19.967969;1
180;1.2;PM25;2017-02-21 23:38:19.968084;1
181;1.4;PM10;2017-02-21 23:38:42.967103;1
182;1.3;PM25;2017-02-21 23:38:42.967213;1
183;1.4;PM10;2017-02-21 23:39:05.547686;1
184;1.3;PM25;2017-02-21 23:39:05.547809;1
185;1.4;PM10;2017-02-21 23:39:28.157656;1
186;1.3;PM25;2017-02-21 23:39:28.157760;1
187;1.4;PM10;2017-02-21 23:39:50.738822;1
188;1.3;PM25;2017-02-21 23:39:50.738956;1
189;1.4;PM10;2017-02-21 23:40:13.383960;1
190;1.3;PM25;2017-02-21 23:40:13.384064;1
191;1.4;PM10;2017-02-21 23:40:35.978584;1
192;1.3;PM25;2017-02-21 23:40:35.978688;1
193;1.4;PM10;2017-02-21 23:40:58.594173;1
194;1.3;PM25;2017-02-21 23:40:58.594279;1
195;1.4;PM10;2017-02-21 23:41:21.512175;1
196;1.3;PM25;2017-02-21 23:41:21.512278;1
197;1.4;PM10;2017-02-21 23:41:44.186527;1
198;1.3;PM25;2017-02-21 23:41:44.186646;1
199;1.4;PM10;2017-02-21 23:42:06.747976;1
200;1.3;PM25;2017-02-21 23:42:06.748083;1
201;1.4;PM10;2017-02-21 23:42:29.322056;1
202;1.3;PM25;2017-02-21 23:42:29.322161;1
203;1.4;PM10;2017-02-21 23:42:51.965070;1
204;1.3;PM25;2017-02-21 23:42:51.965180;1
205;1.4;PM10;2017-02-21 23:43:14.534338;1
206;1.3;PM25;2017-02-21 23:43:14.534443;1
207;1.4;PM10;2017-02-21 23:43:37.355114;1
208;1.3;PM25;2017-02-21 23:43:37.355215;1
209;1.4;PM10;2017-02-21 23:43:59.989356;1
210;1.3;PM25;2017-02-21 23:43:59.989461;1
211;1.4;PM10;2017-02-21 23:44:22.683341;1
212;1.3;PM25;2017-02-21 23:44:22.683458;1
213;1.4;PM10;2017-02-21 23:44:45.234576;1
214;1.3;PM25;2017-02-21 23:44:45.234700;1
215;1.4;PM10;2017-02-21 23:45:07.827167;1
216;1.3;PM25;2017-02-21 23:45:07.827272;1
217;1.4;PM10;2017-02-21 23:45:30.450799;1
218;1.3;PM25;2017-02-21 23:45:30.450921;1
219;1.5;PM10;2017-02-21 23:45:53.077746;1
220;1.4;PM25;2017-02-21 23:45:53.077850;1
221;1.5;PM10;2017-02-21 23:46:15.746259;1
222;1.4;PM25;2017-02-21 23:46:15.746389;1
223;1.5;PM10;2017-02-21 23:46:38.626532;1
224;1.4;PM25;2017-02-21 23:46:38.626641;1
225;1.5;PM10;2017-02-21 23:47:01.145703;1
226;1.4;PM25;2017-02-21 23:47:01.145824;1
227;1.4;PM10;2017-02-21 23:47:23.774190;1
228;1.4;PM25;2017-02-21 23:47:23.774298;1
229;1.4;PM10;2017-02-21 23:47:46.326824;1
230;1.4;PM25;2017-02-21 23:47:46.326937;1
231;1.6;PM10;2017-02-21 23:48:08.921694;1
232;1.4;PM25;2017-02-21 23:48:08.921797;1
233;1.5;PM10;2017-02-21 23:48:32.178151;1
234;1.4;PM25;2017-02-21 23:48:32.178271;1
235;1.5;PM10;2017-02-21 23:48:55.281258;1
236;1.4;PM25;2017-02-21 23:48:55.281366;1
237;1.6;PM10;2017-02-21 23:49:17.843312;1
238;1.4;PM25;2017-02-21 23:49:17.843425;1
239;1.6;PM10;2017-02-21 23:49:40.421583;1
240;1.4;PM25;2017-02-21 23:49:40.421693;1
241;1.4;PM10;2017-02-21 23:50:03.082156;1
242;1.4;PM25;2017-02-21 23:50:03.082265;1
243;1.5;PM10;2017-02-21 23:50:26.443830;1
244;1.4;PM25;2017-02-21 23:50:26.443938;1
245;2.5;PM10;2017-02-21 23:50:49.035392;1
246;1.4;PM25;2017-02-21 23:50:49.035496;1
247;3.0;PM10;2017-02-21 23:51:11.664424;1
248;1.5;PM25;2017-02-21 23:51:11.664541;1
249;3.0;PM10;2017-02-21 23:51:34.254646;1
250;1.5;PM25;2017-02-21 23:51:34.254747;1
251;2.9;PM10;2017-02-21 23:51:56.840111;1
252;1.5;PM25;2017-02-21 23:51:56.840877;1
253;2.9;PM10;2017-02-21 23:52:19.426139;1
254;1.5;PM25;2017-02-21 23:52:19.426253;1
255;2.8;PM10;2017-02-21 23:52:41.989562;1
256;1.5;PM25;2017-02-21 23:52:41.989673;1
257;2.8;PM10;2017-02-21 23:53:05.008488;1
258;1.5;PM25;2017-02-21 23:53:05.008611;1
259;2.8;PM10;2017-02-21 23:53:27.625175;1
260;1.4;PM25;2017-02-21 23:53:27.625283;1
261;1.5;PM10;2017-02-21 23:53:50.197415;1
262;1.4;PM25;2017-02-21 23:53:50.197520;1
263;2.1;PM10;2017-02-21 23:54:12.755029;1
264;1.4;PM25;2017-02-21 23:54:12.755136;1
265;2.2;PM10;2017-02-21 23:54:35.408708;1
266;1.4;PM25;2017-02-21 23:54:35.408813;1
267;2.2;PM10;2017-02-21 23:54:58.410803;1
268;1.4;PM25;2017-02-21 23:54:58.410922;1
269;2.2;PM10;2017-02-21 23:55:20.992649;1
270;1.4;PM25;2017-02-21 23:55:20.992756;1
271;2.2;PM10;2017-02-21 23:55:43.626597;1
272;1.4;PM25;2017-02-21 23:55:43.626727;1
273;2.2;PM10;2017-02-21 23:56:06.156782;1
274;1.4;PM25;2017-02-21 23:56:06.156888;1
275;2.2;PM10;2017-02-21 23:56:28.801991;1
276;1.4;PM25;2017-02-21 23:56:28.802095;1
277;1.5;PM10;2017-02-21 23:56:51.830806;1
278;1.4;PM25;2017-02-21 23:56:51.830928;1
279;1.5;PM10;2017-02-21 23:57:14.343367;1
280;1.4;PM25;2017-02-21 23:57:14.343471;1
281;1.5;PM10;2017-02-21 23:57:36.926841;1
282;1.4;PM25;2017-02-21 23:57:36.926969;1
283;1.5;PM10;2017-02-21 23:57:59.589460;1
284;1.4;PM25;2017-02-21 23:57:59.589564;1
285;1.5;PM10;2017-02-21 23:58:22.192218;1
286;1.4;PM25;2017-02-21 23:58:22.192321;1
287;1.5;PM10;2017-02-21 23:58:45.560059;1
288;1.4;PM25;2017-02-21 23:58:45.560168;1
289;1.5;PM10;2017-02-21 23:59:08.281465;1
290;1.4;PM25;2017-02-21 23:59:08.281568;1
291;1.5;PM10;2017-02-21 23:59:31.142970;1
292;1.4;PM25;2017-02-21 23:59:31.143075;1
293;1.6;PM10;2017-02-21 23:59:53.771987;1
294;1.4;PM25;2017-02-21 23:59:53.772096;1
295;1.6;PM10;2017-02-22 00:00:16.373263;1
296;1.4;PM25;2017-02-22 00:00:16.373365;1
297;1.7;PM10;2017-02-22 00:00:39.124632;1
298;1.4;PM25;2017-02-22 00:00:39.124738;1
299;1.6;PM10;2017-02-22 00:01:01.710531;1
300;1.4;PM25;2017-02-22 00:01:01.710696;1
301;1.6;PM10;2017-02-22 00:01:24.363789;1
302;1.4;PM25;2017-02-22 00:01:24.363893;1
303;1.6;PM10;2017-02-22 00:01:46.915604;1
304;1.4;PM25;2017-02-22 00:01:46.915720;1
305;1.6;PM10;2017-02-22 00:02:09.547932;1
306;1.4;PM25;2017-02-22 00:02:09.548043;1
307;1.5;PM10;2017-02-22 00:02:32.418722;1
308;1.4;PM25;2017-02-22 00:02:32.418843;1
309;1.5;PM10;2017-02-22 00:02:55.542584;1
310;1.4;PM25;2017-02-22 00:02:55.542709;1
